,ID,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Functioning Day
75,691,29/12/2017,574,18,3.6,62,1.4,389,-3.0,0.01,0.0,0.0,Yes
76,2669,22/03/2018,75,4,1.3,87,2.2,937,-0.6,0.0,0.0,0.0,Yes
77,1363,26/01/2018,305,18,-12.7,33,2.5,1835,-25.6,0.05,0.0,0.3,Yes
78,4486,05/06/2018,2404,21,23.3,51,1.7,1654,12.5,0.0,0.0,0.0,Yes
79,993,11/01/2018,443,8,-12.6,61,1.6,1610,-18.5,0.0,0.0,0.0,Yes
80,3281,16/04/2018,1452,16,18.5,24,3.0,1773,-2.4,2.27,0.0,0.0,Yes
81,2706,23/03/2018,1108,17,11.2,27,3.5,1585,-7.1,1.19,0.0,0.0,Yes
82,6090,11/08/2018,1006,17,35.8,36,2.2,2000,18.3,1.58,0.0,0.0,Yes
83,4484,05/06/2018,2615,19,25.5,43,3.1,1760,11.9,0.41,0.0,0.0,Yes
84,1609,06/02/2018,126,0,-10.6,47,3.5,1803,-19.7,0.0,0.0,0.0,Yes
85,5180,04/07/2018,2637,19,28.2,64,2.8,1978,20.7,0.5,0.0,0.0,Yes
86,3170,12/04/2018,374,1,8.9,40,2.1,2000,-3.9,0.0,0.0,0.0,Yes
87,4178,24/05/2018,578,1,12.9,62,0.6,1557,5.7,0.0,0.0,0.0,Yes
88,1385,27/01/2018,195,16,-3.7,25,2.6,1839,-20.9,0.74,0.0,0.0,Yes
89,3644,01/05/2018,1696,19,21.2,68,1.5,610,15.0,0.16,0.0,0.0,Yes
90,1446,30/01/2018,47,5,-11.3,53,1.6,1979,-19.0,0.0,0.0,0.0,Yes
91,782,02/01/2018,273,13,1.5,23,3.6,1970,-17.4,0.95,0.0,0.0,Yes
92,2777,26/03/2018,819,16,17.7,33,3.4,897,1.2,1.96,0.0,0.0,Yes
93,2913,01/04/2018,342,8,12.9,64,1.5,778,6.2,0.06,0.0,0.0,Yes
94,4214,25/05/2018,1106,13,25.6,26,2.7,1747,4.6,3.36,0.0,0.0,Yes
95,5159,03/07/2018,1948,22,26.9,78,0.6,1806,22.7,0.0,0.0,0.0,Yes
96,2060,24/02/2018,306,19,2.1,27,2.8,1883,-15.0,0.01,0.0,0.0,Yes
97,3881,11/05/2018,1496,16,19.1,54,3.2,542,9.5,0.94,0.0,0.0,Yes
98,4703,14/06/2018,1737,22,21.8,72,1.0,1952,16.5,0.0,0.0,0.0,Yes
99,18,01/12/2017,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Yes
100,3535,27/04/2018,427,6,9.9,66,nan,931,3.8,0.0,0.0,0.0,Yes
101,6999,18/09/2018,0,14,26.1,37,2.3,1749,10.2,1.92,0.0,0.0,No
102,1530,02/02/2018,382,17,2.0,25,2.3,1998,-16.0,0.34,0.0,0.0,Yes
103,3643,01/05/2018,2082,18,21.6,67,2.0,584,15.2,0.24,0.0,0.0,Yes
104,4699,14/06/2018,2962,18,24.0,61,1.5,1935,16.0,0.26,0.0,0.0,Yes
105,5810,31/07/2018,695,1,30.2,57,0.7,2000,20.7,0.0,0.0,0.0,Yes
106,240,10/12/2017,148,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Yes
107,1333,25/01/2018,142,12,-12.8,25,3.2,1981,-28.7,1.16,0.0,0.6,Yes
108,4382,01/06/2018,1093,13,29.4,33,2.2,1535,11.4,3.3,0.0,0.0,Yes
109,2268,05/03/2018,322,11,6.1,66,1.9,2000,0.2,1.42,0.0,0.0,Yes
110,2024,23/02/2018,174,7,-0.1,97,0.5,179,-0.5,0.0,0.0,3.8,Yes
111,3567,28/04/2018,1597,14,21.3,25,3.8,1884,0.4,3.22,0.0,0.0,Yes
112,6097,12/08/2018,997,0,29.9,56,2.0,2000,20.1,0.0,0.0,0.0,Yes
113,632,27/12/2017,262,7,-10.1,38,2.3,2000,-21.7,0.0,0.0,0.0,Yes
114,5816,31/07/2018,1091,7,27.9,60,1.1,1983,19.4,0.28,,0.0,Yes
115,6464,27/08/2018,103,7,20.8,98,0.5,299,20.4,0.02,2.0,0.0,Yes
116,391,17/12/2017,39,6,-9.9,42,2.3,2000,-20.4,0.0,0.0,0.0,Yes
117,1598,05/02/2018,169,13,-7.0,25,4.2,1999,-23.7,2.29,0.0,0.0,Yes
118,5776,29/07/2018,713,15,35.9,37,nan,1949,18.9,1.98,0.0,0.0,Yes
119,1792,13/02/2018,295,15,3.7,40,5.3,1950,-8.6,1.96,0.0,0.0,Yes
120,3378,20/04/2018,1543,17,25.6,30,2.3,671,6.7,1.47,0.0,0.0,Yes
121,914,08/01/2018,109,1,0.9,42,0.2,1333,-10.5,0.0,0.0,0.0,Yes
122,1190,19/01/2018,341,13,4.7,26,2.6,1370,-13.2,1.11,0.0,,Yes
123,1201,20/01/2018,228,0,-0.6,60,nan,1433,-7.4,0.0,0.0,0.0,Yes
124,3822,09/05/2018,203,5,9.5,65,0.9,2000,3.2,0.0,0.0,0.0,Yes
125,4375,01/06/2018,672,6,17.5,76,1.2,1161,13.2,0.05,0.0,0.0,Yes
126,6707,06/09/2018,835,10,24.6,70,1.2,1454,18.7,0.96,0.0,0.0,Yes
127,1973,21/02/2018,50,4,-3.8,32,1.1,2000,-18.1,0.0,0.0,0.0,Yes
128,6359,22/08/2018,1556,22,32.1,47,2.0,2000,19.3,0.0,0.0,0.0,Yes
129,2625,20/03/2018,1212,8,4.3,43,4.2,2000,-7.2,0.37,0.0,0.0,Yes
130,2968,03/04/2018,961,15,19.9,58,2.5,1348,11.3,0.51,0.0,0.0,Yes
131,4945,25/06/2018,962,0,22.9,79,0.6,715,19.0,0.0,0.0,0.0,Yes
132,3261,15/04/2018,297,20,10.3,62,2.0,1749,3.3,0.0,0.0,0.0,Yes
133,6883,13/09/2018,3146,18,26.7,56,1.8,2000,17.1,0.47,0.0,0.0,Yes
134,5883,03/08/2018,443,2,31.5,68,0.3,1001,24.8,0.0,0.0,0.0,Yes
135,749,01/01/2018,62,4,-4.2,53,1.1,1994,-12.3,0.0,0.0,0.0,Yes
136,2701,23/03/2018,690,12,9.3,37,2.3,940,-4.6,2.72,0.0,,Yes
137,1867,16/02/2018,165,18,1.4,56,3.2,1932,-6.4,0.22,0.0,0.0,Yes
138,535,23/12/2017,63,6,5.1,81,1.3,375,2.1,0.0,0.0,0.0,Yes
139,1521,02/02/2018,558,8,-7.4,58,2.2,1882,-14.2,0.01,0.0,0.0,Yes
140,5193,05/07/2018,1836,8,23.6,93,0.9,308,22.3,0.21,0.0,0.0,Yes
141,5018,28/06/2018,1068,1,22.2,84,0.3,610,19.3,0.0,0.0,0.0,Yes
142,6352,22/08/2018,842,15,36.8,36,1.0,2000,19.2,2.46,0.0,0.0,Yes
143,2756,25/03/2018,571,19,12.6,59,2.5,384,4.7,0.08,0.0,0.0,Yes
144,267,12/12/2017,95,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,Yes
145,6482,28/08/2018,653,1,23.1,94,0.6,2000,22.0,0.0,0.0,0.0,Yes
146,2243,04/03/2018,239,10,9.8,90,0.8,335,8.2,0.64,,0.0,Yes
147,3172,12/04/2018,182,3,7.8,49,1.4,1972,-2.2,0.0,0.0,0.0,Yes
148,2933,02/04/2018,86,4,15.7,79,1.2,628,12.0,0.0,0.0,0.0,Yes
149,4381,01/06/2018,1076,12,28.2,34,2.6,1867,10.8,3.26,0.0,0.0,Yes
150,4698,14/06/2018,1934,17,24.6,57,1.0,1866,15.5,0.45,0.0,0.0,Yes
151,5954,06/08/2018,455,1,28.7,80,1.5,1295,24.8,0.0,0.0,0.0,Yes
152,3253,15/04/2018,1105,12,12.5,53,3.4,1324,3.1,2.52,0.0,0.0,Yes
153,3242,15/04/2018,349,1,7.1,78,3.6,1662,3.5,0.0,0.0,0.0,Yes
154,2990,04/04/2018,951,13,16.7,47,1.4,2000,5.3,3.24,0.0,0.0,Yes
155,5981,07/08/2018,201,4,27.3,68,0.7,2000,20.8,0.0,0.0,0.0,Yes
156,5133,02/07/2018,61,20,23.5,97,0.1,1814,22.9,0.04,24.0,0.0,Yes
157,6584,01/09/2018,511,7,21.1,81,1.0,1738,17.7,0.14,0.0,0.0,Yes
158,4531,07/06/2018,3221,18,25.6,57,2.7,1217,16.4,0.96,0.0,0.0,Yes
159,2752,25/03/2018,960,15,16.7,38,3.1,265,2.2,2.27,0.0,0.0,Yes
160,2308,07/03/2018,92,3,2.7,55,1.5,1989,-5.4,0.0,0.0,0.0,Yes
161,4613,11/06/2018,194,4,18.8,60,1.0,2000,10.8,0.0,0.0,0.0,Yes
162,4186,24/05/2018,1226,9,17.6,30,1.1,1531,0.0,1.79,0.0,,Yes
163,835,04/01/2018,603,18,-2.6,38,1.4,1604,-14.9,0.0,0.0,0.0,Yes
164,1072,14/01/2018,353,15,4.6,50,0.9,824,-4.9,0.62,0.0,0.0,Yes
165,377,16/12/2017,258,16,-3.3,24,3.5,2000,-21.0,0.54,0.0,0.0,Yes
166,4636,12/06/2018,206,3,17.5,87,0.5,1995,15.3,0.0,0.0,,Yes
167,2414,11/03/2018,843,13,10.3,31,2.1,885,-6.1,2.67,,0.0,Yes
168,4045,18/05/2018,185,12,16.6,96,0.8,430,15.9,0.34,0.0,0.0,Yes
169,2438,12/03/2018,588,13,13.6,34,1.8,458,-1.9,2.23,0.0,0.0,Yes
170,4362,31/05/2018,2047,17,27.2,42,2.9,1828,13.1,1.79,0.0,0.0,Yes
171,4989,26/06/2018,199,20,24.1,94,4.5,214,23.0,0.0,0.5,,Yes
172,6709,06/09/2018,1041,12,26.9,60,2.3,1592,18.4,1.67,0.0,0.0,Yes
173,5944,05/08/2018,712,15,33.7,55,3.7,1843,23.3,2.67,0.0,0.0,Yes
174,1464,30/01/2018,62,23,-1.7,83,1.0,1093,-4.2,0.0,0.0,3.5,Yes
175,5518,18/07/2018,2188,21,28.0,69,1.8,1140,21.7,0.0,0.0,0.0,Yes
176,1484,31/01/2018,270,19,-2.2,36,2.2,2000,-15.2,0.0,0.0,1.6,Yes
177,6979,17/09/2018,3277,18,25.3,56,2.8,1992,15.8,0.54,0.0,0.0,Yes
178,5252,07/07/2018,2352,19,26.1,51,1.4,2000,15.1,0.32,0.0,0.0,Yes
179,2061,24/02/2018,233,20,1.1,32,1.4,1785,-13.8,0.0,0.0,0.0,Yes
180,16,01/12/2017,463,15,2.1,36,nan,2000,-11.4,0.54,0.0,0.0,Yes
181,1170,18/01/2018,416,17,2.8,46,2.1,858,-7.6,0.14,0.0,0.0,Yes
182,2917,01/04/2018,926,12,18.0,53,3.1,1350,8.2,1.53,0.0,0.0,Yes
183,4492,06/06/2018,562,3,19.6,68,1.7,1260,13.5,0.0,0.0,0.0,Yes
184,6510,29/08/2018,109,5,24.6,87,3.6,1966,22.2,0.0,0.0,0.0,Yes
185,1188,19/01/2018,283,11,2.2,20,0.6,1794,-18.5,0.83,0.0,0.0,Yes
186,3839,09/05/2018,1602,22,15.9,60,2.6,2000,8.1,0.0,0.0,0.0,Yes
187,4151,22/05/2018,29,22,16.8,87,0.6,447,14.6,0.0,0.5,0.0,Yes
188,950,09/01/2018,265,13,-2.6,45,4.0,1663,-12.9,1.11,0.0,0.3,Yes
189,6169,15/08/2018,1034,0,30.0,67,0.8,1986,23.1,0.0,0.0,0.0,Yes
190,7003,18/09/2018,0,18,24.8,48,1.4,2000,13.0,0.51,0.0,0.0,No
191,1939,19/02/2018,819,18,4.7,43,2.4,938,-6.8,0.19,0.0,0.0,Yes
192,1572,04/02/2018,115,11,-9.7,37,2.8,1436,-21.6,1.57,0.0,0.0,Yes
193,4094,20/05/2018,1559,13,19.9,33,1.4,2000,3.1,1.28,0.0,0.0,Yes
194,5558,20/07/2018,805,13,32.4,54,2.4,708,21.8,2.5,0.0,0.0,Yes
195,5289,09/07/2018,670,8,20.7,73,0.8,2000,15.6,0.3,0.2,0.0,Yes
196,4403,02/06/2018,1044,10,25.5,33,1.1,1815,0.0,2.52,0.0,0.0,Yes
197,4031,17/05/2018,26,22,20.2,98,0.5,468,19.8,0.0,6.0,0.0,Yes
198,181,08/12/2017,355,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Yes
199,3498,25/04/2018,1878,17,22.9,23,2.8,1985,0.6,1.64,0.0,0.0,Yes
200,1084,15/01/2018,58,3,4.4,70,1.7,928,-0.6,0.0,0.0,0.0,Yes
201,5542,19/07/2018,2122,21,28.8,69,2.4,1619,22.5,0.0,0.0,0.0,Yes
202,6102,12/08/2018,196,5,27.7,65,1.4,2000,20.5,0.0,0.0,0.0,Yes
203,2401,11/03/2018,376,0,5.1,77,nan,718,1.3,0.0,0.0,0.0,Yes
204,422,18/12/2017,76,13,-0.9,84,1.2,333,-3.2,0.09,,5.0,Yes
205,4057,19/05/2018,689,0,12.2,67,1.2,2000,6.2,0.0,0.0,0.0,Yes
206,5697,26/07/2018,1823,8,28.3,72,0.8,1165,22.7,0.34,0.0,0.0,Yes
207,1461,30/01/2018,72,20,-1.5,91,1.7,270,-2.7,0.0,0.0,3.3,Yes
208,5592,21/07/2018,1288,23,28.8,56,1.6,2000,19.1,0.0,0.0,0.0,Yes
209,1116,16/01/2018,256,11,3.9,57,0.8,363,-3.8,0.28,0.0,0.0,Yes
210,929,08/01/2018,353,16,3.5,36,1.7,1702,-10.2,0.16,0.0,0.0,Yes
211,4228,26/05/2018,419,3,15.3,69,0.5,1103,9.6,0.0,0.0,0.0,Yes
212,6623,02/09/2018,1511,22,25.7,64,1.1,2000,18.3,0.0,0.0,0.0,Yes
213,560,24/12/2017,3,7,4.7,89,nan,100,3.0,0.0,0.0,0.0,Yes
214,5670,25/07/2018,299,5,28.3,74,2.4,1378,23.2,0.0,0.0,0.0,Yes
215,4148,22/05/2018,45,19,17.6,93,nan,331,16.4,0.06,1.5,0.0,Yes
216,4080,19/05/2018,1169,23,17.1,37,1.3,2000,2.2,0.0,0.0,0.0,Yes
217,891,07/01/2018,128,2,-4.4,53,0.3,1594,-12.5,0.0,0.0,0.0,Yes
218,3327,18/04/2018,967,14,18.9,15,1.8,1822,-8.3,3.17,0.0,0.0,Yes
219,5519,18/07/2018,1980,22,27.2,73,1.5,1005,21.9,0.0,0.0,0.0,Yes
220,461,20/12/2017,38,4,-8.5,73,1.0,1723,-12.4,0.0,0.0,2.0,Yes
221,4601,10/06/2018,2333,16,24.8,51,1.6,2000,13.9,1.17,0.0,0.0,Yes
222,3689,03/05/2018,911,16,12.8,53,3.3,2000,3.4,0.76,0.0,0.0,Yes
223,1273,23/01/2018,96,0,-5.3,77,3.8,894,-8.7,0.0,0.0,1.0,Yes
224,6527,29/08/2018,74,22,24.3,97,2.1,1028,23.7,0.0,4.5,0.0,Yes
225,2615,19/03/2018,565,22,7.6,48,3.1,2000,-2.7,0.0,0.0,0.0,Yes
226,2688,22/03/2018,428,23,3.4,69,1.1,895,-1.7,0.0,0.0,0.0,Yes
227,6112,12/08/2018,820,15,34.9,46,2.0,2000,21.5,1.54,0.0,0.0,Yes
228,5471,16/07/2018,1934,22,27.2,69,1.7,2000,21.0,0.0,0.0,0.0,Yes
229,5481,17/07/2018,1955,8,25.8,69,0.8,969,19.6,1.06,0.0,0.0,Yes
230,68,03/12/2017,422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Yes
231,59,03/12/2017,200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Yes
232,6712,06/09/2018,1089,15,27.8,48,3.0,1880,15.7,0.93,0.0,0.0,Yes
233,4443,04/06/2018,351,2,20.1,49,0.8,1978,9.0,0.0,0.0,0.0,Yes
234,5057,29/06/2018,1554,16,29.0,57,2.3,987,19.6,2.36,0.0,0.0,Yes
235,1141,17/01/2018,310,12,8.1,51,1.4,367,-1.4,0.75,0.0,0.0,Yes
236,3307,17/04/2018,1727,18,17.1,31,3.3,1501,-0.1,0.93,0.0,0.0,Yes
237,5806,30/07/2018,1875,21,33.1,48,1.1,2000,20.6,0.0,0.0,0.0,Yes
238,2496,14/03/2018,587,23,16.1,69,1.8,1666,10.4,0.0,0.0,0.0,Yes
239,209,09/12/2017,546,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Yes
240,1165,18/01/2018,267,12,2.5,72,2.4,256,-2.0,0.0,0.0,0.0,Yes
241,3041,06/04/2018,585,16,6.6,50,4.0,645,-3.1,0.81,0.0,0.0,Yes
242,2717,24/03/2018,122,4,5.1,54,1.2,550,-3.4,0.0,0.0,0.0,Yes
243,2261,05/03/2018,4,4,5.1,90,2.6,1005,3.5,0.0,0.0,0.0,Yes
244,4930,24/06/2018,734,9,23.1,68,1.9,482,16.8,1.64,0.0,0.0,Yes
245,6193,16/08/2018,808,0,28.4,68,0.9,2000,21.9,0.0,0.0,0.0,Yes
246,361,16/12/2017,217,0,-2.6,73,3.4,787,-6.7,0.0,0.0,0.0,Yes
247,1118,16/01/2018,296,13,5.8,47,0.8,382,-4.6,0.53,0.0,0.0,Yes
248,378,16/12/2017,277,17,-4.6,26,2.6,2000,-21.2,0.17,0.0,0.0,Yes
249,4367,31/05/2018,1900,22,21.1,59,2.1,1874,12.7,0.0,0.0,0.0,Yes
250,6990,18/09/2018,0,5,17.9,77,0.5,1658,13.8,0.0,,0.0,No
251,5320,10/07/2018,1169,15,25.7,77,0.5,1875,21.3,0.48,0.0,0.0,Yes
252,6179,15/08/2018,547,10,33.5,49,1.0,1937,21.3,2.09,0.0,0.0,Yes
253,1106,16/01/2018,207,1,1.2,64,0.7,455,-4.8,0.0,0.0,0.0,Yes
254,1133,17/01/2018,55,4,3.0,68,0.5,322,-2.3,0.0,0.0,0.0,Yes
255,3530,27/04/2018,562,1,11.5,57,1.8,1471,3.2,0.0,0.0,0.0,Yes
256,546,23/12/2017,453,17,7.7,67,0.9,264,1.9,0.11,0.0,0.0,Yes
257,5168,04/07/2018,1450,7,24.6,78,0.5,2000,20.5,0.33,0.0,0.0,Yes
258,568,24/12/2017,38,15,2.9,90,2.0,380,1.4,0.08,3.5,0.0,Yes
259,880,06/01/2018,373,15,2.3,27,2.2,1877,-14.8,0.92,0.0,0.0,Yes
260,4415,02/06/2018,1969,22,21.4,48,1.6,2000,9.9,0.0,0.0,0.0,Yes
261,4916,23/06/2018,2288,19,25.7,59,2.8,1083,17.0,0.38,0.0,0.0,Yes
262,5316,10/07/2018,909,11,23.2,82,1.1,1991,19.9,0.47,0.0,0.0,Yes
263,4726,15/06/2018,2337,21,21.4,54,1.5,2000,11.6,0.0,0.0,0.0,Yes
264,6381,23/08/2018,257,20,29.2,62,2.1,1952,21.1,0.0,0.1,0.0,Yes
265,6640,03/09/2018,137,15,25.7,81,0.7,1825,22.1,0.43,0.0,0.0,Yes
266,3355,19/04/2018,2198,18,19.1,31,3.0,958,1.5,0.7,0.0,0.0,Yes
267,1105,16/01/2018,212,0,1.8,67,1.2,387,-3.6,0.0,0.0,0.0,Yes
268,6831,11/09/2018,1115,14,25.8,37,1.5,1995,9.9,2.22,0.0,0.0,Yes
269,6215,16/08/2018,1943,22,25.9,45,2.1,2000,13.0,0.0,0.0,0.0,Yes
270,3187,12/04/2018,2359,18,17.9,16,3.7,2000,-8.3,0.92,0.0,0.0,Yes
271,2429,12/03/2018,47,4,2.8,52,0.6,1249,-6.1,0.0,0.0,0.0,Yes
272,2223,03/03/2018,1025,14,14.4,14,1.4,1833,-12.8,2.66,0.0,0.0,Yes
273,962,10/01/2018,78,1,-5.6,75,1.7,1982,-9.3,0.0,0.0,0.8,Yes
274,272,12/12/2017,280,7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,Yes
275,5813,31/07/2018,244,4,28.8,58,0.9,2000,19.7,0.0,0.0,0.0,Yes
276,6106,12/08/2018,568,9,29.7,55,1.6,2000,19.6,1.44,0.0,0.0,Yes
277,6050,10/08/2018,708,1,26.9,84,0.2,1061,23.9,0.0,0.0,0.0,Yes
278,312,13/12/2017,174,23,-9.2,44,0.4,1978,-19.2,0.0,0.0,0.0,Yes
279,1849,16/02/2018,105,0,-3.3,35,1.8,1977,-16.6,0.0,0.0,0.0,Yes
